music,age,link,subclass_s,tag_1,tag_2
이하이 - 손잡아 줘요,20,https://youtu.be/cuUEnho33so,3,기분전환,그루브
이하이 - MY STAR,20,https://youtu.be/judxOWZvi7I,3,통통튀는,기분전환
정은지 - 하늘바라기,20,https://youtu.be/nzDO6tAB6ng,3,힘나는,기분전환
여자친구 - 오늘부터 우리는,20,https://youtu.be/YYHyAIFG3iI,3,상큼발랄,기분전환
우주소녀 - 너에게 닿기를,20,https://youtu.be/J7gOqqbBW6w,3,기분전환,청량한
다이아 - 왠지,20,https://youtu.be/tzQv6TgwuFQ,3,기분전환,상큼발랄
방탄소년단 - 고민보다 Go,20,https://youtu.be/dQ3TCDlpX_k,3,신나는,기분전환
노라조 - 형,30,https://youtu.be/wYOKtTIYcIU,1,위로,잔잔한
싸이 - 아버지,30,https://youtu.be/ig8AaFSzzGI,1,쓸쓸한,위로
처진 달팽이 - 말하는대로,30,https://youtu.be/Ka2P2baU3qM,1,위로,잔잔한
Gary - 바람이나 좀 쐐,30,https://youtu.be/JojOd079xwQ,1,위로,감각적인
김동률 - 다시 사랑한다 말할까,30,https://youtu.be/KhW4K6yPgzQ,1,잔잔한,사랑노래
김광진 - 편지,30,https://youtu.be/3SF0ASmivD8,1,잔잔한,멜로디
이적 - 다행이다,30,https://youtu.be/5BasdToAW8U,1,위로,발라드
모세 - 사랑인걸,30,https://youtu.be/ZLf4E4BY_pg,1,달달한,잔잔한
패닉 - 달팽이,30,https://youtu.be/zraW-fU00zI,1,위로,감각적인
김현식 - 내사랑 내곁에,30,https://youtu.be/xdvYOkE8r3A,1,소울풀,쓸쓸한
김동률 - 취중진담,30,https://youtu.be/m3Wjv9JW_6A,1,잔잔한,발라드
조용필 - 이젠 그랬으면 좋겠네,30,https://youtu.be/fNSy9rnEgRg,1,호소력,발라드
김광석 - 잊어야한다는 마음으로,30,https://youtu.be/3RBKFgsZPJQ,1,감각적인,발라드
이적 - 걱정말아요 그대 ,30,https://youtu.be/Dic27EnDDls,1,위로,잔잔한 
하울&제이 - 사랑인가요,30,https://youtu.be/27zoaqIa7gc,1,감성,발라드
브라운아이즈 - 가지마 가지마,30,https://youtu.be/iwMjXaxytTY,2,애절한,슬픈
윤종신 - 좋니,30,https://youtu.be/b1kQvZhQ6_M,2,이별,발라드
윤도현 - 너를 보내고,30,https://youtu.be/oye8H8HkUks,2,슬픈,쓸쓸한
임창정 - 소주한잔,30,https://youtu.be/sF9sv9lT83A,2,애절한,발라드
김조한 - 사랑에 빠지고 싶다,30,https://youtu.be/Nq6VTT-5u1M,2,그루비,애절한
lzi - 응급실,30,https://youtu.be/afh0WN2A2RE,2,슬픈,쓸쓸한
박효신 - 사랑한 후에 ,30,https://youtu.be/9XgXtWomBjo,2,이별 ,발라드
나윤권 - 나였으면,30,https://youtu.be/LR4Mh_ASVJM,2,애절한 ,발라드
버즈 - 가시,30,https://youtu.be/FU5_bepxCLU,2,애절한,보컬
브라운 아이즈 - 벌써일년,30,https://youtu.be/-sVo6NWwK_o,2,감각적인,슬픈
김범수 - 보고싶다,30,https://youtu.be/0YbMJlj22jk,2,애절한,보컬
박정현 - 꿈에 ,30,https://youtu.be/kY-Qj3kMYGw,2,슬픈 ,소울풀 
V.One - 그런가봐요…,30,https://youtu.be/0-jdLLXjJoU,2,슬픈,발라드
바비킴 - 사랑..그놈,30,https://youtu.be/YN-ldRa5FHw,2,그루브,소울풀 
김건모 - 아름다운 이별,30,https://youtu.be/W-sHB4OqQAw,2,이별,눈물
바이브 - 그남자 그여자,30,https://youtu.be/Sv0FU_2I8eo,2,눈물,애절한
화요비 - 그런일은,30,https://youtu.be/EE73SI7iqjs,2,애절한 ,보컬
뱅크 - 가질 수 없는 너,30,https://youtu.be/0Z0hyWzfo_k,2,애절한,슬픈
박진영 - 대낮에 한 이별,30,https://youtu.be/sRIS7mOVgQQ,2,이별,슬픈
김연우 - 내가 너의 곁에 잠시 살았다는걸,30,https://youtu.be/i3hd-Jx-A_E,2,슬픈,애절한
백지영 - 사랑안해,30,https://youtu.be/JFWLOnDBsU0,2,애절한,소울풀 
임재범 - 너를 위해,30,https://youtu.be/I6sd5vAxkkg,2,소울풀,보컬
유재하 - 사랑하기 때문에,30,https://youtu.be/2qxLHIHpimE,2,소울풀,발라드 
신성우 - 서시,30,https://youtu.be/TxwcWW7SMBY,2,소울풀,쓸쓸한
이은미 - 애인 있어요,30,https://youtu.be/rqwL6sfw96M,2,소울풀 ,애절한
플라이투더스카이 - 가슴 아파도,30,https://youtu.be/NHTFcSWXqNE,2,눈물,슬픈
김건모 - 혼자만의 사랑,30,https://youtu.be/PIRhEH3pUwg,2,쓸쓸한,발라드
별 -안부(duet with 나윤권),30,https://youtu.be/U0qqxbupGn8,2,이별,듀엣
김현식 - 비처럼 음악처럼,30,https://youtu.be/ZyqcDZsQZpA,2,슬픈,애절한
김광석 - 사랑했지만,30,https://youtu.be/xhmKg2eFSlw,2,소울풀,애절한
